job_name,address,job_link,salary,job_details
NHÂN VIÊN CHĂM SÓC KHÁCH HÀNG TẠI NHÀ (GIA LỘC),"Số 16-18 Bà Triệu, Phường Phạm Ngũ Lão, TP Hải Dương",https://fptjobs.com/nhan-vien-cham-soc-khach-hang-tai-nha-gia-loc-18354,8000000 - 12000000 VND,"Thu cước, tư vấn đóng cước dịch vụ Internet & Truyền hình của FPT trong tháng tại nhà khách hàng trên địa bàn được phân công.
Hỗ trợ khách hàng báo sự cố đến cán bộ quản lý, tương tác với các bộ phận liên quan để giải quyết và chăm sóc khách hàng khi có khiếu nại hoặc vấn đề phát sinh.
Thu hồi các thiết bị khi khách hàng không còn nhu cầu sử dụng dịch vụ.
Làm việc theo danh sách khách hàng được giao.
Thực hiện các công việc khác theo yêu cầu từ Trưởng Bộ phận/ Đơn vị."
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, QUẬN 6, QUẬN 10, QUẬN 11 - HCM)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-quan-5-quan-6-quan-10-quan-11-hcm-18352,8000000 - 20000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ internet, truyền hình, camera do FPT Telecom đang cung cấp. Tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng."
"NHÂN VIÊN KỸ THUẬT TRIỂN KHAI VÀ BẢO TRÌ MẠNG VIỄN THÔNG  (QUẬN 5, 6, 10, 11)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-ky-thuat-trien-khai-va-bao-tri-mang-vien-thong-quan-5-6-10-11-18350,8000000 - 15000000 VND,"Khảo sát, lắp đặt đường truyền Internet, Camera đến nhà khách hàng.
Kiểm tra, sửa chữa hệ thống viễn thông.
Hỗ trợ tư vấn kỹ thuật trực tiếp cho khách hàng.
Kết hợp tư vấn, bán các sản phẩm dịch vụ công ty cung cấp. Thấu cảm, tạo ra những
tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các kênh ở mọi điểm chạm.
Thực hiện các công việc khác theo sự phân công của trưởng bộ phận.
Khu vực tuyển dụng: Quận 5, 6, 10, 11"
"CHUYÊN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, 6, 10, 11)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/chuyen-vien-kinh-doanh-dich-vu-vien-thong-quan-5-6-10-11-18349,10000000 - 20000000 VND,"Tư vấn, giải thích cho khách hàng về dịch vụ do FPT Telecom đang cung cấp.
Sản phẩm: Internet, Truyền hình và Camera FPT
Đàm phán, thương lượng, xúc tiến ký kết hợp đồng với khách hàng.
Làm việc tại văn phòng hoặc theo yêu cầu, hướng dẫn của quản lý trực tiếp."
"NHÂN VIÊN KINH DOANH DỊCH VỤ VIỄN THÔNG (QUẬN 5, QUẬN 6, QUẬN 10, QUẬN 11 - HCM)","227 Hậu Giang, Phường 5, Quận 6, Thành Phố Hồ Chí Minh",https://fptjobs.com/nhan-vien-kinh-doanh-dich-vu-vien-thong-quan-5-quan-6-quan-10-quan-11-hcm-18345,8000000 - 20000000 VND,"Tìm kiếm thông tin, tiếp cận các khách hàng tiềm năng.
Tư vấn, giải thích cho khách hàng về dịch vụ internet, truyền hình, camera do FPT Telecom đang cung cấp. Tạo ra những tương tác, trải nghiệm cá nhân hóa tới khách hàng trên các điểm tiếp xúc, các kênh tiếp xúc online/offline.
Đàm phán thương lượng, thực hiện các thủ tục ký kết hợp đồng với khách hàng."
DATA SCIENTIST,"Tầng 19, FPT Tower, Số 10 Phạm Văn Bạch, Yên Hoà, Cầu Giấy, Hà Nội.",https://fptjobs.com/data-scientist-18337,lương thỏa thuận,"Làm việc với các lập trình viên, kỹ sư và người quản lý để xác định các cơ hội cải tiến quy trình, đề xuất sửa đổi hệ thống và đưa ra các chiến lược quản trị dữ liệu.
Phối hợp với các phòng ban liên quan trong kinh doanh, vận hành để hiểu các nghiệp vụ, xác định phương pháp phân tích tối ưu.
Khai thác và phân tích các nguồn dữ liệu quy mô để khám phá những hiểu biết sâu sắc, các vấn đề và cơ hội cũng như đề xuất các giải pháp.
Đảm nhận việc thu thập, tiền xử lý và phân tích dữ liệu.
Xây dựng, xác thực và triển khai các mô hình học máy, học sâu để giải quyết các vấn đề nghiệp vụ kinh doanh, vận hành quan trọng.
Phát triển các quy trình và công cụ để theo dõi và phân tích hiệu suất của mô hình và độ chính xác của dữ liệu.
Đề xuất ý tưởng tạo ra những tương tác, trải nghiệm cá nhân hóa tới người dùng/khách hàng trên các kênh (online/offline) ở mọi điểm chạm.
Chia sẻ, đào tạo cho các thành viên của nhóm."
CHUYÊN GIA BẢO MẬT,"Tầng 19, tòa nhà FPT Tower, số 10 Phạm Văn Bạch, Cầu Giấy, Hà Nội",https://fptjobs.com/chuyen-gia-bao-mat-18333,lương thỏa thuận,"Thực hiện hoạt động điều tra số, truy vết nhằm xác định nguyên nhân và nguồn gốc các hành vi xâm nhập trái phép hệ thống CNTT theo phân công.​​​​​
Tham gia phối hợp cùng các đơn vị liên quan xử lý các sự cố ANTT.
Chủ động tìm kiếm, phát hiện các rủi ro có thể gây mất an toàn an ninh thông tin trong hệ thống.
Thực hiện giám sát/cảnh báo/phân tích các sự kiện, sự cố ANTT trên hệ thống.
Cập nhật các dấu hiệu tấn công, các dấu hiệu nhận biết để thực hiện giám sát thời gian thực trên toàn hệ thống.
Xây dựng quy trình xử lý sự cố, xử lý cảnh báo, xử lý nguy cơ, và xử lý vấn đề ATTT.
Nghiên cứu các kỹ thuật tấn công mới, từ đó đưa ra các phương thức để thực hiện giám sát tấn công trên hệ thống"
"NHÂN VIÊN THU CƯỚC DỊCH VỤ VIỄN THÔNG (PHÙ CÁT, PHÙ MỸ)","302 Ngô Gia Tự, P. Bình Định, TX. An Nhơn, Bình Định",https://fptjobs.com/nhan-vien-thu-cuoc-dich-vu-vien-thong-phu-cat-phu-my-18327,7000000 - 15000000 VND,"Thu cước sử dụng dịch vụ Internet phát sinh trong tháng tại nhà khách hàng.
Xác minh thực trạng, địa chỉ khách hàng.
Chăm sóc và hỗ trợ khách hàng tại nhà khách hàng
Công ty sẽ sắp xếp để nhân viên đi thu cước ở khu vực gần nơi cư trú
Ưu tiên những ứng viên có hộ khẩu tại H. Phù Cát, H. Phù Mỹ
Nơi làm việc: H. Phù Cát, H. Phù Mỹ"
KỸ THUẬT VIÊN KHẢO SÁT THIẾT KẾ HẠ TẦNG VIỄN THÔNG (HCM),"29B-31B-33B, Đường Tân Thuận, Khu chế xuất Tân Thuận, Phường Tân Thuận Đông, Quận 7, Thành phố Hồ Chí Minh",https://fptjobs.com/ky-thuat-vien-khao-sat-thiet-ke-ha-tang-vien-thong-hcm-18326,15000000 - 18000000 VND,"Tư vấn, lập hồ sơ thiết kế các công trình hạ tầng kỹ thuật phục vụ viễn thông, truyền hình, .…
Khảo sát, thực hiện các giải pháp thiết kế hệ thống đài,trạm để lắp đặt thiết bị phục vụ Viễn thông, DataCenter, ....
Khảo sát, lập hồ sơ thiết kế mạng cáp quang phục vụ internet, truyền hình, ....
Nghiên cứu giải pháp, lập các hồ sơ thiết kế hạ tầng kỹ thuật cung cấp dịch vụ viễn thông, thông tin liên lạc, smart city...cho các khu dân cư, các DA nhà ở, ...."
ANDROID DEVELOPER,"Số 336-340 Huỳnh Tấn Phát, Phường Tân Thuận Tây, Quận 7, TP. HCM",https://fptjobs.com/android-developer-18325,15000000 - 30000000 VND,"Thiết kế và phát triển các ứng dụng Android thuộc dự án Camera & các dự án IoT (FPT Telecom) trên nền tảng Java/Kotlin/Jetpack.
Nghiên cứu tìm hiểu công nghệ mới áp dụng cho dự án, thiết kế xây dựng và phát triển ý tưởng mới cho ứng dụng.
Lập trình các module tính năng theo bản phân tích thiết kế.
Tham gia toàn bộ quy trình về phát triển sản phẩm.
Quản lý vòng đời kỹ thuật đầy đủ của các ứng dụng Android trong mỗi lần phát triển.
Tuân thủ theo các tiêu chuẩn thiết kế, tiêu chuẩn mã nguồn, bảo mật.
Chẩn đoán các vấn đề về hiệu suất, sửa lỗi để tăng chức năng của các ứng dụng mới.
Phối hợp với các team UI/UX, BA, BackEnd, QC,... triển khai đảm bảo các yêu cầu về chất lượng, tiến độ.
Thực hiện Unit Test.
Làm việc, phối hợp, báo cáo công việc theo sự phân công công việc của cấp trên."
NHÂN VIÊN DỊCH VỤ KHÁCH HÀNG (TẠI NHA TRANG KHÁNH HÒA),"Tầng 1,2 Tòa Nhà 42 Lê Thành Phương, Phương Sài,  Nha Trang, Khánh Hòa",https://fptjobs.com/nhan-vien-dich-vu-khach-hang-tai-nha-trang-khanh-hoa-18324,8000000 - 15000000 VND,"Quản lý hợp đồng dịch vụ khách hàng: Kiểm tra hợp đồng, giấy tờ và cập nhật đầy đủ, chính xác thông tin của khách hàng trên hệ thống.
Thực hiện các thủ tục chuyển đổi, đổi chủ, thanh lý hợp đồng theo yêu cầu của khách hàng.
Thu phí của khách hàng đến thanh toán tại quầy giao dịch và từ các nhân viên thu cước làm việc tại chi nhánh.
Quản lý và hỗ trợ đội ngũ nhân viên thu cước đảm bảo hoàn thành chỉ tiêu thanh toán theo yêu cầu của bộ phận.
Cập nhật trên hệ thống quản lý các khoản thu trong ngày và nộp tiền bảo đảm đầy đủ, chính xác.
Chăm sóc khách hàng sử dụng dịch vụ của Công ty.
Khu vực làm việc: TP. Nha Trang."
